subject,correct,total,accuracy_percent
0,360,840,42.85714286
1,354,840,42.14285714
2,308,840,36.66666667
3,239,840,28.45238095
4,301,840,35.83333333
5,410,840,48.80952381
6,324,840,38.57142857
7,81,840,9.64285714
8,349,840,41.54761905
9,367,840,43.69047619
10,399,840,47.50000000
11,472,840,56.19047619
12,517,840,61.54761905
13,360,840,42.85714286
14,381,840,45.35714286
15,508,840,60.47619048
16,421,840,50.11904762
17,336,840,40.00000000
18,381,840,45.35714286
19,450,840,53.57142857
20,553,840,65.83333333
21,390,840,46.42857143
22,307,840,36.54761905
23,30,840,3.57142857
24,460,840,54.76190476
25,380,840,45.23809524
26,522,840,62.14285714
27,209,840,24.88095238
28,216,840,25.71428571
29,360,840,42.85714286
30,117,840,13.92857143
31,324,840,38.57142857
32,393,840,46.78571429
33,412,840,49.04761905
34,323,840,38.45238095
35,225,840,26.78571429
36,360,840,42.85714286
37,300,840,35.71428571
38,380,840,45.23809524
39,389,840,46.30952381
40,403,840,47.97619048
41,473,840,56.30952381
42,494,840,58.80952381
43,550,840,65.47619048
44,393,840,46.78571429
45,630,840,75.00000000
46,388,840,46.19047619
47,423,840,50.35714286
48,506,840,60.23809524
49,194,840,23.09523810
50,536,840,63.80952381
51,510,840,60.71428571
52,388,840,46.19047619
53,600,840,71.42857143
54,491,840,58.45238095
55,341,840,40.59523810
56,323,840,38.45238095
57,306,840,36.42857143
58,240,840,28.57142857
59,449,840,53.45238095
60,523,840,62.26190476
61,238,840,28.33333333
62,397,840,47.26190476
63,399,840,47.50000000
64,240,840,28.57142857
65,286,840,34.04761905
66,406,840,48.33333333
67,232,840,27.61904762
68,251,840,29.88095238
69,359,840,42.73809524
70,302,840,35.95238095
71,389,840,46.30952381
72,174,840,20.71428571
73,234,840,27.85714286
74,243,840,28.92857143
75,386,840,45.95238095
76,508,840,60.47619048
77,410,840,48.80952381
78,170,840,20.23809524
79,345,840,41.07142857
80,194,840,23.09523810
81,448,840,53.33333333
82,300,840,35.71428571
83,223,840,26.54761905
84,375,840,44.64285714
85,265,840,31.54761905
86,90,840,10.71428571
87,251,840,29.88095238
88,300,840,35.71428571
89,403,840,47.97619048
90,314,840,37.38095238
91,109,840,12.97619048
92,377,840,44.88095238
93,366,840,43.57142857
94,361,840,42.97619048
95,300,840,35.71428571
96,515,840,61.30952381
97,210,840,25.00000000
98,364,840,43.33333333
99,366,840,43.57142857
100,223,840,26.54761905
101,272,840,32.38095238
102,411,840,48.92857143
103,283,840,33.69047619
104,200,840,23.80952381
105,390,840,46.42857143
106,169,840,20.11904762
107,335,840,39.88095238
108,204,840,24.28571429
109,302,840,35.95238095
110,222,840,26.42857143
111,179,840,21.30952381
112,240,840,28.57142857
113,230,840,27.38095238
114,340,840,40.47619048
115,337,840,40.11904762
116,316,840,37.61904762
117,270,840,32.14285714
118,272,840,32.38095238
119,496,840,59.04761905
120,246,840,29.28571429
121,250,840,29.76190476
122,355,840,42.26190476
