subject,correct,total,accuracy_percent
0,349,840,41.54761905
1,272,840,32.38095238
2,319,840,37.97619048
3,159,840,18.92857143
4,366,840,43.57142857
5,456,840,54.28571429
6,405,840,48.21428571
7,210,840,25.00000000
8,308,840,36.66666667
9,372,840,44.28571429
10,337,840,40.11904762
11,506,840,60.23809524
12,382,840,45.47619048
13,354,840,42.14285714
14,393,840,46.78571429
15,524,840,62.38095238
16,388,840,46.19047619
17,338,840,40.23809524
18,302,840,35.95238095
19,479,840,57.02380952
20,409,840,48.69047619
21,493,840,58.69047619
22,349,840,41.54761905
23,30,840,3.57142857
24,479,840,57.02380952
25,348,840,41.42857143
26,413,840,49.16666667
27,322,840,38.33333333
28,107,840,12.73809524
29,271,840,32.26190476
30,197,840,23.45238095
31,318,840,37.85714286
32,401,840,47.73809524
33,400,840,47.61904762
34,336,840,40.00000000
35,206,840,24.52380952
36,383,840,45.59523810
37,382,840,45.47619048
38,400,840,47.61904762
39,414,840,49.28571429
40,456,840,54.28571429
41,393,840,46.78571429
42,382,840,45.47619048
43,518,840,61.66666667
44,365,840,43.45238095
45,535,840,63.69047619
46,330,840,39.28571429
47,462,840,55.00000000
48,559,840,66.54761905
49,217,840,25.83333333
50,575,840,68.45238095
51,420,840,50.00000000
52,384,840,45.71428571
53,536,840,63.80952381
54,418,840,49.76190476
55,330,840,39.28571429
56,346,840,41.19047619
57,223,840,26.54761905
58,249,840,29.64285714
59,332,840,39.52380952
60,534,840,63.57142857
61,316,840,37.61904762
62,341,840,40.59523810
63,411,840,48.92857143
64,205,840,24.40476190
65,317,840,37.73809524
66,462,840,55.00000000
67,194,840,23.09523810
68,374,840,44.52380952
69,402,840,47.85714286
70,326,840,38.80952381
71,423,840,50.35714286
72,161,840,19.16666667
73,240,840,28.57142857
74,219,840,26.07142857
75,296,840,35.23809524
76,283,840,33.69047619
77,417,840,49.64285714
78,93,840,11.07142857
79,340,840,40.47619048
80,326,840,38.80952381
81,292,840,34.76190476
82,357,840,42.50000000
83,260,840,30.95238095
84,302,840,35.95238095
85,162,840,19.28571429
86,124,840,14.76190476
87,240,840,28.57142857
88,270,840,32.14285714
89,330,840,39.28571429
90,363,840,43.21428571
91,150,840,17.85714286
92,399,840,47.50000000
93,416,840,49.52380952
94,352,840,41.90476190
95,278,840,33.09523810
96,488,840,58.09523810
97,290,840,34.52380952
98,360,840,42.85714286
99,273,840,32.50000000
100,336,840,40.00000000
101,397,840,47.26190476
102,394,840,46.90476190
103,373,840,44.40476190
104,148,840,17.61904762
105,390,840,46.42857143
106,180,840,21.42857143
107,336,840,40.00000000
108,292,840,34.76190476
109,391,840,46.54761905
110,215,840,25.59523810
111,199,840,23.69047619
112,383,840,45.59523810
113,252,840,30.00000000
114,301,840,35.83333333
115,392,840,46.66666667
116,301,840,35.83333333
117,339,840,40.35714286
118,301,840,35.83333333
119,399,840,47.50000000
120,183,840,21.78571429
121,253,840,30.11904762
122,389,840,46.30952381
