subject,correct,total,accuracy_percent
0,440,840,52.38095238
1,389,840,46.30952381
2,296,840,35.23809524
3,187,840,22.26190476
4,284,840,33.80952381
5,499,840,59.40476190
6,363,840,43.21428571
7,131,840,15.59523810
8,380,840,45.23809524
9,457,840,54.40476190
10,446,840,53.09523810
11,420,840,50.00000000
12,565,840,67.26190476
13,379,840,45.11904762
14,508,840,60.47619048
15,492,840,58.57142857
16,394,840,46.90476190
17,277,840,32.97619048
18,340,840,40.47619048
19,587,840,69.88095238
20,485,840,57.73809524
21,567,840,67.50000000
22,249,840,29.64285714
23,60,840,7.14285714
24,401,840,47.73809524
25,373,840,44.40476190
26,371,840,44.16666667
27,448,840,53.33333333
28,148,840,17.61904762
29,266,840,31.66666667
30,110,840,13.09523810
31,390,840,46.42857143
32,403,840,47.97619048
33,522,840,62.14285714
34,206,840,24.52380952
35,327,840,38.92857143
36,359,840,42.73809524
37,542,840,64.52380952
38,464,840,55.23809524
39,316,840,37.61904762
40,481,840,57.26190476
41,399,840,47.50000000
42,362,840,43.09523810
43,610,840,72.61904762
44,460,840,54.76190476
45,630,840,75.00000000
46,435,840,51.78571429
47,361,840,42.97619048
48,475,840,56.54761905
49,266,840,31.66666667
50,463,840,55.11904762
51,435,840,51.78571429
52,322,840,38.33333333
53,510,840,60.71428571
54,494,840,58.80952381
55,413,840,49.16666667
56,367,840,43.69047619
57,449,840,53.45238095
58,278,840,33.09523810
59,210,840,25.00000000
60,573,840,68.21428571
61,356,840,42.38095238
62,314,840,37.38095238
63,523,840,62.26190476
64,181,840,21.54761905
65,284,840,33.80952381
66,353,840,42.02380952
67,235,840,27.97619048
68,213,840,25.35714286
69,364,840,43.33333333
70,300,840,35.71428571
71,419,840,49.88095238
72,186,840,22.14285714
73,372,840,44.28571429
74,270,840,32.14285714
75,248,840,29.52380952
76,403,840,47.97619048
77,285,840,33.92857143
78,96,840,11.42857143
79,450,840,53.57142857
80,230,840,27.38095238
81,263,840,31.30952381
82,410,840,48.80952381
83,365,840,43.45238095
84,402,840,47.85714286
85,297,840,35.35714286
86,180,840,21.42857143
87,218,840,25.95238095
88,251,840,29.88095238
89,280,840,33.33333333
90,156,840,18.57142857
91,76,840,9.04761905
92,375,840,44.64285714
93,330,840,39.28571429
94,452,840,53.80952381
95,297,840,35.35714286
96,392,840,46.66666667
97,323,840,38.45238095
98,338,840,40.23809524
99,308,840,36.66666667
100,324,840,38.57142857
101,298,840,35.47619048
102,422,840,50.23809524
103,394,840,46.90476190
104,234,840,27.85714286
105,405,840,48.21428571
106,224,840,26.66666667
107,352,840,41.90476190
108,329,840,39.16666667
109,420,840,50.00000000
110,244,840,29.04761905
111,216,840,25.71428571
112,326,840,38.80952381
113,273,840,32.50000000
114,387,840,46.07142857
115,382,840,45.47619048
116,283,840,33.69047619
117,234,840,27.85714286
118,151,840,17.97619048
119,427,840,50.83333333
120,160,840,19.04761905
121,215,840,25.59523810
122,291,840,34.64285714
