epoch,mlp/train/acc,mlp/train/loss,mlp/val/acc,mlp/val/loss,step
0,,,31.60714340209961,2.059837579727173,182
0,31.462890625,1.9067245721817017,,,182
1,,,31.845237731933594,2.005420684814453,365
1,42.71986389160156,1.6253993511199951,,,365
2,,,31.617063522338867,2.0005156993865967,548
2,47.52145004272461,1.4997590780258179,,,548
3,,,32.56944274902344,1.9953545331954956,731
3,50.74860763549805,1.4144972562789917,,,731
4,,,31.746030807495117,1.9819871187210083,914
4,53.60467529296875,1.3411270380020142,,,914
5,,,31.31944465637207,2.0094263553619385,1097
5,55.60810852050781,1.2772573232650757,,,1097
6,,,31.914682388305664,2.031165599822998,1280
6,57.90218734741211,1.2203665971755981,,,1280
7,,,31.58730125427246,2.1089322566986084,1463
7,59.69004821777344,1.16881263256073,,,1463
8,,,32.470237731933594,2.063703775405884,1646
8,61.52080535888672,1.1177400350570679,,,1646
9,,,31.31944465637207,2.117561101913452,1829
9,63.081295013427734,1.072350263595581,,,1829
10,,,30.396825790405273,2.196187973022461,2012
10,64.59459686279297,1.0297322273254395,,,2012
11,,,30.575397491455078,2.1684484481811523,2195
11,66.02745819091797,0.9903587102890015,,,2195
12,,,28.015872955322266,2.297605276107788,2378
12,67.3648681640625,0.952261745929718,,,2378
13,,,31.04166603088379,2.2592713832855225,2561
13,68.59502410888672,0.9159252047538757,,,2561
14,,,29.16666603088379,2.3047516345977783,2744
14,69.87666320800781,0.8865266442298889,,,2744
15,,,30.367063522338867,2.32350754737854,2927
15,71.0832290649414,0.8538274168968201,,,2927
16,,,31.140872955322266,2.3219456672668457,3110
16,72.06777954101562,0.8250203728675842,,,3110
17,,,30.595237731933594,2.3453822135925293,3293
17,72.9601058959961,0.801886260509491,,,3293
18,,,30.0,2.4067440032958984,3476
18,73.84491729736328,0.7783704996109009,,,3476
19,,,29.65277862548828,2.4278457164764404,3659
19,74.80909729003906,0.7524100542068481,,,3659
20,,,30.466270446777344,2.449432849884033,3842
20,75.80330657958984,0.727615237236023,,,3842
21,,,28.779762268066406,2.4853579998016357,4025
21,76.73530578613281,0.7033949494361877,,,4025
22,,,30.079364776611328,2.50699782371521,4208
22,77.3155288696289,0.6867314577102661,,,4208
23,,,30.545635223388672,2.47605299949646,4391
23,78.29901123046875,0.6668020486831665,,,4391
24,,,29.80158805847168,2.550638198852539,4574
24,78.98112487792969,0.6461037397384644,,,4574
25,,,29.682538986206055,2.574208974838257,4757
25,79.50879669189453,0.6342727541923523,,,4757
26,,,30.327381134033203,2.584740400314331,4940
26,80.08151245117188,0.6180616021156311,,,4940
27,,,29.186508178710938,2.564607858657837,5123
27,80.79794311523438,0.6018953323364258,,,5123
28,,,31.081348419189453,2.5978384017944336,5306
28,81.36315155029297,0.5880047082901001,,,5306
29,,,30.634920120239258,2.6689348220825195,5489
29,81.73638153076172,0.576775848865509,,,5489
30,,,30.13888931274414,2.64202618598938,5672
30,82.50428771972656,0.5587610006332397,,,5672
31,,,29.58333396911621,2.68639874458313,5855
31,83.08344268798828,0.5480995178222656,,,5855
32,,,29.15674591064453,2.611715078353882,6038
32,83.32475280761719,0.5370681881904602,,,6038
33,,,29.71230125427246,2.6809513568878174,6221
33,83.66044616699219,0.5281581878662109,,,6221
34,,,29.910715103149414,2.6728014945983887,6404
34,83.90068817138672,0.520993709564209,,,6404
35,,,29.880952835083008,2.731278657913208,6587
35,84.39081573486328,0.5105167031288147,,,6587
36,,,30.029762268066406,2.6934268474578857,6770
36,84.45624542236328,0.5047706365585327,,,6770
37,,,30.21825408935547,2.716076135635376,6953
37,84.8755874633789,0.4970504641532898,,,6953
38,,,29.375,2.6909775733947754,7136
38,85.23916625976562,0.4893947243690491,,,7136
39,,,30.1488094329834,2.695517063140869,7319
39,85.5920181274414,0.4811919331550598,,,7319
40,,,28.918651580810547,2.7349729537963867,7502
40,85.83119201660156,0.47756561636924744,,,7502
41,,,29.375,2.7513508796691895,7685
41,86.06070709228516,0.46830299496650696,,,7685
42,,,30.932538986206055,2.7022864818573,7868
42,86.3427734375,0.4624340534210205,,,7868
43,,,28.501983642578125,2.710129737854004,8051
43,86.33419036865234,0.46145007014274597,,,8051
44,,,29.66269874572754,2.766735076904297,8234
44,86.85113525390625,0.4509437680244446,,,8234
45,,,28.779762268066406,2.805145502090454,8417
45,86.82861328125,0.44865357875823975,,,8417
46,,,29.23611068725586,2.790461301803589,8600
46,87.03238677978516,0.44145652651786804,,,8600
47,,,28.799602508544922,2.73173451423645,8783
47,87.26619720458984,0.4373718500137329,,,8783
48,,,29.692461013793945,2.8290727138519287,8966
48,87.58472442626953,0.4333673119544983,,,8966
49,,,29.65277862548828,2.750502347946167,9149
49,87.46460723876953,0.4330892562866211,,,9149
50,,,31.52777862548828,2.7702369689941406,9332
50,87.8646469116211,0.42213985323905945,,,9332
51,,,30.922618865966797,2.767909049987793,9515
51,87.60295867919922,0.42855480313301086,,,9515
52,,,29.93055534362793,2.719501495361328,9698
52,87.91505432128906,0.42231032252311707,,,9698
53,,,29.265872955322266,2.786083698272705,9881
53,88.21857452392578,0.41518551111221313,,,9881
